DATE,MYAGM2JPM189S_PC1
1956-01-01,16.17618
1956-02-01,17.16638
1956-03-01,18.28519
1956-04-01,18.13716
1956-05-01,18.97771
1956-06-01,20.41361
1956-07-01,20.38633
1956-08-01,20.07519
1956-09-01,22.06987
1956-10-01,21.28656
1956-11-01,21.97224
1956-12-01,22.12353
1957-01-01,23.12912
1957-02-01,22.39235
1957-03-01,22.53877
1957-04-01,22.80025
1957-05-01,22.17257
1957-06-01,20.23490
1957-07-01,19.60836
1957-08-01,18.62106
1957-09-01,16.75695
1957-10-01,17.23108
1957-11-01,16.13494
1957-12-01,15.06244
1958-01-01,14.35212
1958-02-01,14.38352
1958-03-01,13.80824
1958-04-01,14.14812
1958-05-01,13.54412
1958-06-01,14.66197
1958-07-01,15.73856
1958-08-01,16.45725
1958-09-01,17.78669
1958-10-01,17.75170
1958-11-01,19.00179
1958-12-01,19.05076
1959-01-01,17.96354
1959-02-01,19.60492
1959-03-01,20.81412
1959-04-01,20.05603
1959-05-01,21.21296
1959-06-01,20.81465
1959-07-01,20.27219
1959-08-01,18.65996
1959-09-01,20.08397
1959-10-01,20.16084
1959-11-01,19.61668
1959-12-01,20.28941
1960-01-01,21.79817
1960-02-01,20.33543
1960-03-01,19.76178
1960-04-01,19.87097
1960-05-01,19.87616
1960-06-01,19.95742
1960-07-01,20.02963
1960-08-01,21.95693
1960-09-01,20.62552
1960-10-01,20.74509
1960-11-01,21.03772
1960-12-01,21.01817
1961-01-01,21.41834
1961-02-01,22.53390
1961-03-01,22.69903
1961-04-01,23.52564
1961-05-01,23.10973
1961-06-01,23.52152
1961-07-01,23.10280
1961-08-01,22.47074
1961-09-01,21.68785
1961-10-01,21.07335
1961-11-01,20.46317
1961-12-01,19.42201
1962-01-01,19.43923
1962-02-01,18.10053
1962-03-01,16.82948
1962-04-01,17.07333
1962-05-01,17.47091
1962-06-01,16.57493
1962-07-01,17.22483
1962-08-01,17.61470
1962-09-01,18.20276
1962-10-01,19.12716
1962-11-01,19.84458
1962-12-01,21.27442
1963-01-01,21.17047
1963-02-01,22.11684
1963-03-01,23.71021
1963-04-01,23.34682
1963-05-01,23.63515
1963-06-01,24.78856
1963-07-01,24.97597
1963-08-01,24.53082
1963-09-01,25.43324
1963-10-01,24.79456
1963-11-01,24.13521
1963-12-01,24.05591
1964-01-01,23.24706
1964-02-01,22.11719
1964-03-01,21.75181
1964-04-01,21.00006
1964-05-01,19.99484
1964-06-01,19.03486
1964-07-01,18.22504
1964-08-01,18.02410
1964-09-01,16.73794
1964-10-01,16.27938
1964-11-01,16.06786
1964-12-01,15.32532
1965-01-01,15.55514
1965-02-01,16.10956
1965-03-01,15.71013
1965-04-01,15.76110
1965-05-01,16.02213
1965-06-01,16.30731
1965-07-01,16.01447
1965-08-01,16.67156
1965-09-01,16.98877
1965-10-01,17.22579
1965-11-01,17.55630
1965-12-01,18.03643
1966-01-01,17.94290
1966-02-01,17.63304
1966-03-01,18.65453
1966-04-01,17.73317
1966-05-01,17.84387
1966-06-01,17.62241
1966-07-01,17.89052
1966-08-01,17.70247
1966-09-01,17.60793
1966-10-01,17.08128
1966-11-01,16.70245
1966-12-01,16.24200
1967-01-01,12.60474
1967-02-01,12.76235
1967-03-01,12.34510
1967-04-01,12.70739
1967-05-01,11.15574
1967-06-01,11.55447
1967-07-01,11.79258
1967-08-01,11.50223
1967-09-01,11.95548
1967-10-01,12.54315
1967-11-01,12.28281
1967-12-01,12.27473
1968-01-01,15.72367
1968-02-01,15.79936
1968-03-01,15.32863
1968-04-01,15.38416
1968-05-01,16.61484
1968-06-01,16.37428
1968-07-01,15.95010
1968-08-01,15.58093
1968-09-01,14.91183
1968-10-01,14.64158
1968-11-01,15.34717
1968-12-01,15.63456
1969-01-01,15.89530
1969-02-01,15.72215
1969-03-01,15.77453
1969-04-01,16.51111
1969-05-01,16.63387
1969-06-01,16.79100
1969-07-01,17.25273
1969-08-01,17.95152
1969-09-01,18.13908
1969-10-01,18.51460
1969-11-01,18.52745
1969-12-01,18.73867
1970-01-01,18.90858
1970-02-01,19.07659
1970-03-01,18.81910
1970-04-01,18.72469
1970-05-01,19.00685
1970-06-01,18.58495
1970-07-01,18.43057
1970-08-01,18.10527
1970-09-01,17.75614
1970-10-01,17.83142
1970-11-01,17.37060
1970-12-01,17.13226
1971-01-01,17.13024
1971-02-01,17.51630
1971-03-01,17.78208
1971-04-01,18.22205
1971-05-01,18.75626
1971-06-01,19.43117
1971-07-01,20.63852
1971-08-01,21.58384
1971-09-01,22.48510
1971-10-01,22.84692
1971-11-01,22.83869
1971-12-01,24.91235
1972-01-01,25.29368
1972-02-01,25.31752
1972-03-01,26.02199
1972-04-01,26.13663
1972-05-01,25.48306
1972-06-01,26.42367
1972-07-01,26.97351
1972-08-01,26.37521
1972-09-01,26.86832
1972-10-01,27.84353
1972-11-01,28.48503
1972-12-01,26.74601
1973-01-01,26.29455
1973-02-01,26.73139
1973-03-01,26.82590
1973-04-01,27.22447
1973-05-01,26.39303
1973-06-01,25.04831
1973-07-01,22.72700
1973-08-01,21.85315
1973-09-01,20.58740
1973-10-01,18.46756
1973-11-01,17.43499
1973-12-01,16.14106
1974-01-01,15.54901
1974-02-01,14.48548
1974-03-01,12.74392
1974-04-01,11.29862
1974-05-01,11.60860
1974-06-01,11.11801
1974-07-01,11.06099
1974-08-01,11.16170
1974-09-01,10.64695
1974-10-01,10.74516
1974-11-01,11.31721
1974-12-01,11.82134
1975-01-01,11.91963
1975-02-01,11.83117
1975-03-01,12.21878
1975-04-01,12.82699
1975-05-01,12.58279
1975-06-01,12.35764
1975-07-01,13.04903
1975-08-01,13.45065
1975-09-01,13.78776
1975-10-01,14.23077
1975-11-01,14.05053
1975-12-01,14.51671
1976-01-01,15.00546
1976-02-01,15.30119
1976-03-01,15.61559
1976-04-01,15.21553
1976-05-01,15.58721
1976-06-01,16.14813
1976-07-01,15.45386
1976-08-01,15.09214
1976-09-01,14.97626
1976-10-01,14.82168
1976-11-01,14.37915
1976-12-01,13.85005
1977-01-01,13.16133
1977-02-01,12.56281
1977-03-01,12.15997
1977-04-01,11.45744
1977-05-01,11.23175
1977-06-01,10.93997
1977-07-01,11.09525
1977-08-01,10.85025
1977-09-01,11.18411
1977-10-01,10.62062
1977-11-01,10.83022
1977-12-01,10.72479
1978-01-01,10.71966
1978-02-01,10.82592
1978-03-01,11.07761
1978-04-01,11.84025
1978-05-01,11.47580
1978-06-01,11.96215
1978-07-01,11.99309
1978-08-01,12.25350
1978-09-01,11.97355
1978-10-01,12.17518
1978-11-01,12.28101
1978-12-01,12.22840
1979-01-01,12.43932
1979-02-01,12.37497
1979-03-01,12.23530
1979-04-01,12.13070
1979-05-01,12.76058
1979-06-01,11.83887
1979-07-01,11.85364
1979-08-01,11.78905
1979-09-01,11.42692
1979-10-01,11.47296
1979-11-01,11.09627
1979-12-01,11.03921
1980-01-01,10.70569
1980-02-01,10.75329
1980-03-01,10.53674
1980-04-01,10.36758
1980-05-01,10.30123
1980-06-01,9.62546
1980-07-01,8.83075
1980-08-01,8.24142
1980-09-01,8.05301
1980-10-01,7.61651
1980-11-01,7.85770
1980-12-01,7.79231
1981-01-01,7.49168
1981-02-01,7.50866
1981-03-01,7.54915
1981-04-01,7.95748
1981-05-01,7.47332
1981-06-01,8.43725
1981-07-01,9.05458
1981-08-01,9.66490
1981-09-01,10.06956
1981-10-01,10.69040
1981-11-01,10.47629
1981-12-01,10.44697
1982-01-01,10.71459
1982-02-01,10.52255
1982-03-01,10.30787
1982-04-01,9.42706
1982-05-01,9.45501
1982-06-01,8.94576
1982-07-01,9.31144
1982-08-01,9.06892
1982-09-01,8.73674
1982-10-01,8.28971
1982-11-01,8.06301
1982-12-01,7.83114
1983-01-01,7.65667
1983-02-01,7.38758
1983-03-01,7.38753
1983-04-01,7.61978
1983-05-01,7.59099
1983-06-01,7.83376
1983-07-01,7.14194
1983-08-01,6.99647
1983-09-01,7.12302
1983-10-01,7.18849
1983-11-01,6.86849
1983-12-01,7.52180
1984-01-01,7.54541
1984-02-01,7.77320
1984-03-01,8.23599
1984-04-01,7.64959
1984-05-01,7.60931
1984-06-01,7.62989
1984-07-01,7.76016
1984-08-01,7.81769
1984-09-01,7.98202
1984-10-01,7.76571
1984-11-01,8.15329
1984-12-01,7.74850
1985-01-01,7.85683
1985-02-01,7.89129
1985-03-01,7.76720
1985-04-01,8.38809
1985-05-01,8.36687
1985-06-01,8.36194
1985-07-01,8.33222
1985-08-01,8.30111
1985-09-01,8.22907
1985-10-01,8.64929
1985-11-01,9.01892
1985-12-01,9.29926
1986-01-01,8.99560
1986-02-01,8.91460
1986-03-01,8.86588
1986-04-01,8.43960
1986-05-01,8.44035
1986-06-01,8.68529
1986-07-01,8.80395
1986-08-01,8.85765
1986-09-01,8.87816
1986-10-01,8.48950
1986-11-01,8.28087
1986-12-01,8.25414
1987-01-01,8.62633
1987-02-01,8.69316
1987-03-01,8.93832
1987-04-01,9.76411
1987-05-01,10.18675
1987-06-01,10.20627
1987-07-01,10.39188
1987-08-01,10.91975
1987-09-01,11.13544
1987-10-01,11.56903
1987-11-01,12.27727
1987-12-01,11.60758
1988-01-01,11.94689
1988-02-01,12.30652
1988-03-01,11.79330
1988-04-01,11.29440
1988-05-01,11.41684
1988-06-01,11.28494
1988-07-01,11.15412
1988-08-01,10.90960
1988-09-01,10.65878
1988-10-01,10.87906
1988-11-01,10.30490
1988-12-01,10.54765
1989-01-01,10.04569
1989-02-01,10.41625
1989-03-01,10.41440
1989-04-01,10.12367
1989-05-01,9.38741
1989-06-01,9.46485
1989-07-01,9.76033
1989-08-01,9.64091
1989-09-01,9.58668
1989-10-01,9.40017
1989-11-01,9.86984
1989-12-01,10.74450
1990-01-01,11.53654
1990-02-01,11.90437
1990-03-01,11.76442
1990-04-01,13.11930
1990-05-01,13.17515
1990-06-01,12.52303
1990-07-01,12.15522
1990-08-01,11.89296
1990-09-01,11.96498
1990-10-01,11.62297
1990-11-01,9.87982
1990-12-01,8.63664
1991-01-01,7.46387
1991-02-01,5.69242
1991-03-01,5.20187
1991-04-01,3.79359
1991-05-01,3.56279
1991-06-01,3.58748
1991-07-01,3.27495
1991-08-01,2.67529
1991-09-01,2.27574
1991-10-01,1.98914
1991-11-01,2.42107
1991-12-01,2.13029
1992-01-01,1.89000
1992-02-01,1.71393
1992-03-01,1.87145
1992-04-01,1.52493
1992-05-01,0.99133
1992-06-01,0.79363
1992-07-01,0.12885
1992-08-01,0.22880
1992-09-01,-0.45940
1992-10-01,-0.63708
1992-11-01,-0.54220
1992-12-01,-0.29822
1993-01-01,-0.19387
1993-02-01,0.16707
1993-03-01,-0.32494
1993-04-01,0.46093
1993-05-01,1.34152
1993-06-01,1.31810
1993-07-01,1.53680
1993-08-01,1.65412
1993-09-01,1.95220
1993-10-01,1.87922
1993-11-01,1.58433
1993-12-01,1.47964
1994-01-01,1.61039
1994-02-01,1.50585
1994-03-01,1.97213
1994-04-01,2.07863
1994-05-01,1.52143
1994-06-01,1.43086
1994-07-01,1.94698
1994-08-01,1.94805
1994-09-01,2.39999
1994-10-01,2.51182
1994-11-01,2.71936
1994-12-01,2.97954
1995-01-01,3.09613
1995-02-01,3.50508
1995-03-01,3.52105
1995-04-01,3.00922
1995-05-01,2.97077
1995-06-01,3.07407
1995-07-01,2.71775
1995-08-01,2.70720
1995-09-01,2.69248
1995-10-01,2.55227
1995-11-01,3.29467
1995-12-01,3.20282
1996-01-01,3.03381
1996-02-01,2.73818
1996-03-01,2.97454
1996-04-01,2.77088
1996-05-01,3.16587
1996-06-01,3.69481
1996-07-01,3.68012
1996-08-01,3.71311
1996-09-01,3.55425
1996-10-01,3.74540
1996-11-01,3.11645
1996-12-01,2.91789
1997-01-01,2.92378
1997-02-01,2.81332
1997-03-01,2.67807
1997-04-01,3.16534
1997-05-01,3.01686
1997-06-01,2.84561
1997-07-01,3.06043
1997-08-01,3.19339
1997-09-01,3.08633
1997-10-01,2.95410
1997-11-01,3.17733
1997-12-01,3.80873
1998-01-01,4.35950
1998-02-01,4.92649
1998-03-01,4.52971
1998-04-01,4.12524
1998-05-01,4.26125
1998-06-01,3.90421
1998-07-01,4.03772
1998-08-01,4.26764
1998-09-01,4.41488
1998-10-01,4.34900
1998-11-01,4.80111
1998-12-01,4.42750
1999-01-01,3.98808
1999-02-01,3.80801
1999-03-01,4.21491
1999-04-01,3.88721
1999-05-01,4.02156
1999-06-01,4.31082
1999-07-01,3.94894
1999-08-01,3.53741
1999-09-01,3.33635
1999-10-01,3.55007
1999-11-01,2.88649
1999-12-01,2.71605
2000-01-01,2.58239
2000-02-01,2.07106
2000-03-01,1.99165
2000-04-01,2.84013
2000-05-01,2.15382
2000-06-01,1.89555
2000-07-01,1.94200
2000-08-01,1.84155
2000-09-01,1.94090
2000-10-01,2.07765
2000-11-01,1.87704
2000-12-01,2.08108
2001-01-01,2.21846
2001-02-01,2.55752
2001-03-01,2.52854
2001-04-01,2.28735
2001-05-01,2.65887
2001-06-01,2.83374
2001-07-01,2.92053
2001-08-01,2.96738
2001-09-01,3.10300
2001-10-01,2.85900
2001-11-01,2.99280
2001-12-01,3.42442
2002-01-01,3.55286
2002-02-01,3.51920
2002-03-01,3.71195
2002-04-01,3.56375
2002-05-01,3.48941
2002-06-01,3.38008
2002-07-01,3.26149
2002-08-01,3.38304
2002-09-01,3.12247
2002-10-01,3.24428
2002-11-01,3.15643
2002-12-01,2.29365
2003-01-01,2.03381
2003-02-01,1.93887
2003-03-01,1.68897
2003-04-01,0.96974
2003-05-01,1.12463
2003-06-01,1.27275
2003-07-01,1.27191
2003-08-01,1.42907
2003-09-01,1.16621
2003-10-01,0.99882
2003-11-01,0.99274
2003-12-01,1.11776
2004-01-01,1.19270
2004-02-01,1.25610
2004-03-01,1.30229
2004-04-01,1.87708
2004-05-01,1.99705
2004-06-01,1.75761
2004-07-01,1.86646
2004-08-01,1.86196
2004-09-01,1.93909
2004-10-01,1.96039
2004-11-01,1.96153
2004-12-01,2.03505
2005-01-01,1.95883
2005-02-01,1.80937
2005-03-01,2.02634
2005-04-01,1.78005
2005-05-01,1.49214
2005-06-01,1.61463
2005-07-01,1.67771
2005-08-01,1.61112
2005-09-01,1.95925
2005-10-01,1.91678
2005-11-01,1.99228
2005-12-01,1.89294
2006-01-01,1.74728
2006-02-01,1.68148
2006-03-01,1.35811
2006-04-01,1.58950
2006-05-01,1.33146
2006-06-01,1.07013
2006-07-01,0.54454
2006-08-01,0.44241
2006-09-01,0.51503
2006-10-01,0.55160
2006-11-01,0.58642
2006-12-01,0.71721
2007-01-01,0.89512
2007-02-01,0.96898
2007-03-01,1.07765
2007-04-01,1.14932
2007-05-01,1.46044
2007-06-01,1.74584
2007-07-01,2.06363
2007-08-01,1.75505
2007-09-01,1.72830
2007-10-01,1.88862
2007-11-01,2.01698
2007-12-01,2.12855
2008-01-01,2.16356
2008-02-01,2.32738
2008-03-01,2.26457
2008-04-01,1.88368
2008-05-01,2.04599
2008-06-01,2.15680
2008-07-01,2.13188
2008-08-01,2.38219
2008-09-01,2.17416
2008-10-01,1.78831
2008-11-01,1.80632
2008-12-01,1.87607
2009-01-01,2.01020
2009-02-01,2.15178
2009-03-01,2.27793
2009-04-01,2.66689
2009-05-01,2.64191
2009-06-01,2.47300
2009-07-01,2.71144
2009-08-01,2.79295
2009-09-01,2.96489
2009-10-01,3.34335
2009-11-01,3.27649
2009-12-01,3.11111
2010-01-01,3.03652
2010-02-01,2.79498
2010-03-01,2.70940
2010-04-01,2.85146
2010-05-01,3.08147
2010-06-01,2.87313
2010-07-01,2.71674
2010-08-01,2.78710
2010-09-01,2.76912
2010-10-01,2.73526
2010-11-01,2.54507
2010-12-01,2.34393
2011-01-01,2.34087
2011-02-01,2.44481
2011-03-01,2.59748
2011-04-01,2.69593
2011-05-01,2.68677
2011-06-01,2.82190
2011-07-01,2.93596
2011-08-01,2.71164
2011-09-01,2.74015
2011-10-01,2.79901
2011-11-01,2.97306
2011-12-01,3.11076
2012-01-01,3.04285
2012-02-01,2.93561
2012-03-01,2.92569
2012-04-01,2.61471
2012-05-01,2.19522
2012-06-01,2.25629
2012-07-01,2.31022
2012-08-01,2.47812
2012-09-01,2.44509
2012-10-01,2.28105
2012-11-01,2.07482
2012-12-01,2.50129
2013-01-01,2.64178
2013-02-01,2.88813
2013-03-01,3.05144
2013-04-01,3.21935
2013-05-01,3.49752
2013-06-01,3.82659
2013-07-01,3.78748
2013-08-01,3.81385
2013-09-01,3.90957
2013-10-01,4.13638
2013-11-01,4.30001
2013-12-01,4.15738
2014-01-01,4.25739
2014-02-01,3.92014
2014-03-01,3.58013
2014-04-01,3.50178
2014-05-01,3.27306
2014-06-01,3.07224
2014-07-01,3.01786
2014-08-01,2.98874
2014-09-01,3.11522
2014-10-01,3.17867
2014-11-01,3.52531
2014-12-01,3.52702
2015-01-01,3.33566
2015-02-01,3.49115
2015-03-01,3.65983
2015-04-01,3.67275
2015-05-01,4.08922
2015-06-01,3.96078
2015-07-01,4.06837
2015-08-01,4.17246
2015-09-01,3.82650
2015-10-01,3.64903
2015-11-01,3.30352
2015-12-01,3.08526
2016-01-01,3.13455
2016-02-01,3.20082
2016-03-01,3.21447
2016-04-01,3.47131
2016-05-01,3.42303
2016-06-01,3.47126
2016-07-01,3.39767
2016-08-01,3.23680
